date,myr_usd
11/22/2016,0.226372376
11/23/2016,0.227401927
11/24/2016,0.225225225
11/25/2016,0.225149155
11/26/2016,0.225149155
11/27/2016,0.225149155
11/28/2016,0.224265531
11/29/2016,0.224225312
11/30/2016,0.223838821
12/1/2016,0.224215239
12/2/2016,0.224220276
12/3/2016,0.224220276
12/4/2016,0.224220276
12/5/2016,0.224921271
12/6/2016,0.226423636
12/7/2016,0.226449281
12/8/2016,0.226193175
12/9/2016,0.226193175
12/10/2016,0.226193175
12/11/2016,0.226193175
12/12/2016,0.226654574
12/13/2016,0.225835592
12/14/2016,0.225047827
12/15/2016,0.224114746
12/16/2016,0.223538622
12/17/2016,0.223538622
12/18/2016,0.223538622
12/19/2016,0.22343871
12/20/2016,0.223363847
12/21/2016,0.223363847
12/22/2016,0.223214284
12/23/2016,0.223638609
12/24/2016,0.223638609
12/25/2016,0.223638609
12/26/2016,0.223638609
12/27/2016,0.223413765
12/28/2016,0.223239213
12/29/2016,0.223089784
12/30/2016,0.223040029
12/31/2016,0.223040029
1/1/2017,0.223040029
1/2/2017,0.223040029
1/3/2017,0.222717166
1/4/2017,0.222469419
1/5/2017,0.223663598
1/6/2017,0.223688632
1/7/2017,0.223688632
1/8/2017,0.223688632
1/9/2017,0.223488644
1/10/2017,0.22361359
1/11/2017,0.223763719
1/12/2017,0.225861102
1/13/2017,0.224215239
1/14/2017,0.224215239
1/15/2017,0.224215239
1/16/2017,0.223939091
1/17/2017,0.224215239
1/18/2017,0.223838821
1/19/2017,0.224845409
1/20/2017,0.224997193
1/21/2017,0.224997193
1/22/2017,0.224997193
1/23/2017,0.225453719
1/24/2017,0.225580871
1/25/2017,0.226305798
1/26/2017,0.225861102
1/27/2017,0.225728542
1/28/2017,0.225728542
1/29/2017,0.225728542
1/30/2017,0.225672498
1/31/2017,0.225876406
2/1/2017,0.225850895
2/2/2017,0.226142019
2/3/2017,0.225963175
2/4/2017,0.225963175
2/5/2017,0.225963175
2/6/2017,0.225861102
2/7/2017,0.225504562
2/8/2017,0.225352108
2/9/2017,0.225377515
2/10/2017,0.225413084
2/11/2017,0.225413084
2/12/2017,0.225413084
2/13/2017,0.224729195
2/14/2017,0.224845409
2/15/2017,0.224895999
2/16/2017,0.22469385
2/17/2017,0.224668607
2/18/2017,0.224668607
2/19/2017,0.224668607
2/20/2017,0.224441692
2/21/2017,0.22446689
2/22/2017,0.224653468
2/23/2017,0.225073159
2/24/2017,0.225352108
2/25/2017,0.225352108
2/26/2017,0.225352108
2/27/2017,0.225352108
2/28/2017,0.225352108
3/1/2017,0.224921271
3/2/2017,0.224997193
3/3/2017,0.224618137
3/4/2017,0.224618137
3/5/2017,0.224618137
3/6/2017,0.22474435
3/7/2017,0.224997193
3/8/2017,0.224618137
3/9/2017,0.224215239
3/10/2017,0.22469385
3/11/2017,0.22469385
3/12/2017,0.22469385
3/13/2017,0.224971876
3/14/2017,0.224845409
3/15/2017,0.225174516
3/16/2017,0.225377515
3/17/2017,0.225479141
3/18/2017,0.225479141
3/19/2017,0.225479141
3/20/2017,0.225988686
3/21/2017,0.226090893
3/22/2017,0.226014242
3/23/2017,0.225912124
3/24/2017,0.226090893
3/25/2017,0.226090893
3/26/2017,0.226090893
3/27/2017,0.226783082
3/28/2017,0.226757377
3/29/2017,0.226372376
3/30/2017,0.226295531
3/31/2017,0.226090893
4/1/2017,0.226090893
4/2/2017,0.226090893
4/3/2017,0.225963175
4/4/2017,0.2257846
4/5/2017,0.225733638
4/6/2017,0.225529999
4/7/2017,0.225529999
4/8/2017,0.225529999
4/9/2017,0.225529999
4/10/2017,0.225606322
4/11/2017,0.225682676
4/12/2017,0.225988686
4/13/2017,0.226757377
4/14/2017,0.22714366
4/15/2017,0.22714366
4/16/2017,0.22714366
4/17/2017,0.22714366
4/18/2017,0.226808801
4/19/2017,0.227324381
4/20/2017,0.227479532
4/21/2017,0.227427796
4/22/2017,0.227427796
4/23/2017,0.227427796
4/24/2017,0.227376089
4/25/2017,0.228885338
4/26/2017,0.230149612
4/27/2017,0.230149612
4/28/2017,0.230441302
4/29/2017,0.230441302
4/30/2017,0.230441302
5/1/2017,0.230414733
5/2/2017,0.23118715
5/3/2017,0.231615514
5/4/2017,0.231133714
5/5/2017,0.23068051
5/6/2017,0.23068051
5/7/2017,0.23068051
5/8/2017,0.23068051
5/9/2017,0.230202585
5/10/2017,0.230414733
5/11/2017,0.230096623
5/12/2017,0.230202585
5/13/2017,0.230202585
5/14/2017,0.230202585
5/15/2017,0.231427908
5/16/2017,0.231749713
5/17/2017,0.2314547
5/18/2017,0.23118715
5/19/2017,0.231481478
5/20/2017,0.231481478
5/21/2017,0.231481478
5/22/2017,0.232450023
5/23/2017,0.233045921
5/24/2017,0.232774675
5/25/2017,0.233863428
5/26/2017,0.234356686
5/27/2017,0.234356686
5/28/2017,0.234356686
5/29/2017,0.234000236
5/30/2017,0.233590275
5/31/2017,0.233192638
6/1/2017,0.233345002
6/2/2017,0.233781412
6/3/2017,0.233781412
6/4/2017,0.233781412
6/5/2017,0.234686688
6/6/2017,0.234192044
6/7/2017,0.234796911
6/8/2017,0.234741777
6/9/2017,0.23460412
6/10/2017,0.23460412
6/11/2017,0.23460412
6/12/2017,0.23460412
6/13/2017,0.234659165
6/14/2017,0.234990016
6/15/2017,0.234466597
6/16/2017,0.233972847
6/17/2017,0.233972847
6/18/2017,0.233972847
6/19/2017,0.23391813
6/20/2017,0.233563006
6/21/2017,0.233399451
6/22/2017,0.233399451
6/23/2017,0.233312339
6/24/2017,0.233312339
6/25/2017,0.233312339
6/26/2017,0.233345002
6/27/2017,0.233317792
6/28/2017,0.232910216
6/29/2017,0.232991621
6/30/2017,0.233045921
7/1/2017,0.233045921
7/2/2017,0.233045921
7/3/2017,0.23280178
7/4/2017,0.23282887
7/5/2017,0.23282887
7/6/2017,0.23280178
7/7/2017,0.23274757
7/8/2017,0.23274757
7/9/2017,0.23274757
7/10/2017,0.23282887
7/11/2017,0.23282887
7/12/2017,0.233100235
7/13/2017,0.233100235
7/14/2017,0.233100235
7/15/2017,0.233100235
7/16/2017,0.233100235
7/17/2017,0.23335591
7/18/2017,0.233426705
7/19/2017,0.233426705
7/20/2017,0.23315458
7/21/2017,0.233508483
7/22/2017,0.233508483
7/23/2017,0.233508483
7/24/2017,0.23391813
7/25/2017,0.233672157
7/26/2017,0.233535722
7/27/2017,0.23391813
7/28/2017,0.233699471
7/29/2017,0.233699471
7/30/2017,0.233699471
7/31/2017,0.233699471
8/1/2017,0.233426705
8/2/2017,0.233372241
8/3/2017,0.233781412
8/4/2017,0.233808741
8/5/2017,0.233808741
8/6/2017,0.233808741
8/7/2017,0.233672157
8/8/2017,0.233481199
8/9/2017,0.233290568
8/10/2017,0.23315458
8/11/2017,0.232964471
8/12/2017,0.232964471
8/13/2017,0.232964471
8/14/2017,0.233045921
8/15/2017,0.232910216
8/16/2017,0.232964471
8/17/2017,0.232937321
8/18/2017,0.233263344
8/19/2017,0.233263344
8/20/2017,0.233263344
8/21/2017,0.233399451
8/22/2017,0.23372677
8/23/2017,0.23391813
8/24/2017,0.233808741
8/25/2017,0.234192044
8/26/2017,0.234192044
8/27/2017,0.234192044
8/28/2017,0.234439105
