Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
French Polynesia,PYF,GDP (current US$),5325846362,5497036477,5833352693,6135116253,6022276196,5792545871,6150640646,5814661209,
Gabon,GAB,GDP (current US$),14383107763,14023890265,14929487485,16867326390,16874405460,15314577168,20217946921,21071739228,20516134389
Gambia,GMB,GDP (current US$),1378176609,1484578886,1504909463,1670671328,1813609692,1812170891,2014158843,2175099790,2339904157
Georgia,GEO,GDP (current US$),15223796149,15444548902,16473125375,17902544881,17638337117,16010869216,18853115589,24984568960,30535530479
Germany,DEU,GDP (current US$),3.36E+12,3.47E+12,3.69E+12,3.97E+12,3.89E+12,3.89E+12,4.28E+12,4.08E+12,4.46E+12
Ghana,GHA,GDP (current US$),49406010054,56164929305,60405924079,67298914624,68337969248,70043095504,79524421861,74263364042,76370394412
Gibraltar,GIB,GDP (current US$),,,,,,,,,
Greece,GRC,GDP (current US$),1.96E+11,1.93E+11,2.00E+11,2.12E+11,2.05E+11,1.88E+11,2.15E+11,2.18E+11,2.38E+11
Greenland,GRL,GDP (current US$),2499113023,2707139544,2851613679,3055782146,2997309972,3082884653,3235809504,,
Grenada,GRD,GDP (current US$),997007407.4,1061640741,1125685185,1166514815,1213485185,1043411111,1122800000,1224577778,1320334236
Guam,GUM,GDP (current US$),5799000000,5901000000,6013000000,6051000000,6355000000,5916000000,6234000000,6910000000,
Guatemala,GTM,GDP (current US$),62186064719,66053403469,71653754066,73328365862,77172317259,77715183063,86053083476,95003330316,1.02E+11
Guinea,GIN,GDP (current US$),8794202394,8595955600,10324668271,11857030367,13442861496,14177835841,16091817842,20999229260,23612295818
Guinea-Bissau,GNB,GDP (current US$),1152384167,1245074264,1469978606,1554133594,1486476582,1520479985,1724555634,1714166526,1966461400
Guyana,GUY,GDP (current US$),4279840194,4482697337,4748174334,4787636998,5173760192,5471256595,8041362110,14718388489,16786302158
Haiti,HTI,GDP (current US$),14849629309,14069277526,15093357161,16403864618,15016090930,14508222518,20877414953,20253551921,19850829758
Honduras,HND,GDP (current US$),20979791685,21717604952,23136247991,24067750760,24882225742,23352232484,28144331507,31426041807,34400509852
"Hong Kong SAR, China",HKG,GDP (current US$),3.09E+11,3.21E+11,3.41E+11,3.62E+11,3.63E+11,3.45E+11,3.69E+11,3.59E+11,3.82E+11
Hungary,HUN,GDP (current US$),1.25E+11,1.29E+11,1.43E+11,1.61E+11,1.64E+11,1.57E+11,1.82E+11,1.77E+11,2.12E+11
Iceland,ISL,GDP (current US$),17517210519,20793168031,24728285177,26260850582,24681343649,21629953194,25797870984,28701830402,31020032583
India,IND,GDP (current US$),2.10E+12,2.29E+12,2.65E+12,2.70E+12,2.84E+12,2.67E+12,3.17E+12,3.35E+12,3.55E+12
